root,verb_forms,count_vf,frequency,romanized
दोहरा,"दोहराया,दोहराने,दोहराते,दोहराई,दोहराए,दोहराती,दोहरा",7,22,doharA
दौड,"दौड़ा,दौड़ते,दौड़ती,दौड़ी,दौड़",5,19,dauDa
दौड़,"दौड़,दौड़ता,दौड़ने,दौड़े",4,10,dau.Da
दौड़ा,"दौड़ाकर,दौड़ाई",2,2,dau.DA
धकिया,धकिया,1,1,dhakiyA
धकेल,धकेल,1,1,dhakela
धमका,"धमकाया,धमकाने,धमका,धमकाते",4,7,dhamakA
धर,"धरे,धरी,धर,धरने",4,5,dhara
धुँधला,धुँधला,1,2,dhu.NdhalA
धो,"धोकर,धो,धोना,धोए",4,8,dho
धड़धड़ा,धड़धड़ाता,1,1,dha.Dadha.DA
नकार,"नकार,नकारते,नकारने,नकारा",4,11,nakAra
नवाज,"नवाजा,नवाज़,नवाजता",3,8,navAja
नहला,नहलाया,1,1,nahalA
नहा,"नहाए,नहाने,नहाया,नहा",4,11,nahA
नाच,नाचने,1,1,nAcha
नाप,"नापो,नाप",2,4,nApa
निकल,"निकलती,निकल,निकली,निकला,निकलने,निकले,निकलनेवाले,निकलना,निकलता,निकलते,निकलकर,निकलीं,निकलवाकर,निकलें",14,123,nikala
निकलवा,निकलवाने,1,1,nikalavA
निकाल,"निकाल,निकाली,निकालने,निकालना,निकाला,निकाले,निकालकर,निकालते,निकालती,निकालेंगे",10,91,nikAla
निखर,निखरी,1,3,nikhara
निखार,निखारने,1,3,nikhAra
